,DATE,LATITUDE_F,LONGITUDE_F,LATITUDE_W,LONGITUDE_W,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,T,TMAX,TMIN,PREC,RH2M,PS,WS10M_MIN,WS10M_MAX,WS10M
0,2013-07-20,40.80833333,-123.0547222,35.25,-113.75,0.2,A,Miscellaneous,25.26,30.8,21.67,7.09,63.0,87.62,0.35,4.26,2.16
1,2013-07-17,34.20083333,-117.35,35.25,-113.75,0.25,A,Miscellaneous,27.64,33.14,21.85,0.96,42.3,88.02,0.47,4.54,2.51
2,2013-07-26,40.4025,-123.2075,35.25,-113.75,0.1,A,Miscellaneous,25.55,30.72,22.16,3.67,60.42,88.16,1.33,4.63,2.75
3,2013-07-31,41.31916667,-123.17305559999998,35.25,-113.75,2420.0,F,Miscellaneous,28.05,34.83,21.3,0.0,31.96,88.07,2.06,7.41,4.41
4,2013-07-26,39.76833333,-120.5133333,35.25,-113.75,0.1,A,Miscellaneous,25.55,30.72,22.16,3.67,60.42,88.16,1.33,4.63,2.75
5,2013-07-26,34.30555556,-117.5138889,35.25,-113.75,0.1,A,Miscellaneous,25.55,30.72,22.16,3.67,60.42,88.16,1.33,4.63,2.75
6,2013-07-20,36.46972222,-118.1744444,35.25,-113.75,0.25,A,Miscellaneous,25.26,30.8,21.67,7.09,63.0,87.62,0.35,4.26,2.16
7,2013-07-31,41.30777778,-123.20416670000002,35.25,-113.75,3.0,B,Miscellaneous,28.05,34.83,21.3,0.0,31.96,88.07,2.06,7.41,4.41
8,2013-07-02,34.19166667,-117.1875,35.25,-113.75,8.0,B,Miscellaneous,30.87,37.71,23.79,0.25,21.78,87.76,1.91,7.48,4.38
9,2013-07-16,40.79583333,-122.7688889,35.25,-113.75,0.1,A,Miscellaneous,28.06,33.9,21.94,1.65,37.13,87.7,2.66,7.6,5.02
10,2013-07-08,38.77444444,-120.2975,35.25,-113.75,572.0,E,Miscellaneous,31.8,39.35,23.15,0.0,17.06,87.77,1.35,6.75,4.22
11,2013-07-23,40.99527778,-122.6986111,35.25,-113.75,0.1,A,Miscellaneous,26.57,31.51,20.9,1.14,48.26,87.85,0.59,2.7,1.84
12,2013-07-24,37.13083333,-119.3963889,35.25,-113.75,0.5,B,Miscellaneous,29.4,35.24,22.3,0.91,38.44,87.73,1.04,2.63,1.67
13,2013-07-14,40.89555556,-123.5672222,35.25,-113.75,0.1,A,Miscellaneous,29.59,34.69,23.69,1.48,32.98,87.75,0.26,3.42,1.77
14,2013-07-08,40.40888889,-123.2436111,35.25,-113.75,0.1,A,Miscellaneous,31.8,39.35,23.15,0.0,17.06,87.77,1.35,6.75,4.22
15,2013-07-23,39.67194444,-120.2325,35.25,-113.75,0.1,A,Miscellaneous,26.57,31.51,20.9,1.14,48.26,87.85,0.59,2.7,1.84
16,2013-07-21,34.30666667,-118.3772222,35.25,-113.75,0.25,A,Miscellaneous,23.26,26.17,20.31,1.84,73.61,87.68,0.87,3.42,2.26
17,2013-07-20,34.29583333,-117.475,35.25,-113.75,0.1,A,Miscellaneous,25.26,30.8,21.67,7.09,63.0,87.62,0.35,4.26,2.16
18,2013-07-13,40.85083333,-122.8502778,35.25,-113.75,0.1,A,Miscellaneous,28.38,34.09,20.5,1.55,37.96,87.8,1.16,3.32,2.25
19,2013-07-07,34.31472222,-118.3827778,35.25,-113.75,0.1,A,Miscellaneous,30.9,38.44,22.47,0.05,22.69,87.46,1.85,6.71,4.01
20,2013-07-10,40.6475,-121.46,35.25,-113.75,0.2,A,Miscellaneous,28.47,34.62,22.04,0.11,29.37,87.85,0.53,5.37,2.54
21,2013-07-30,40.42444444,-123.4988889,35.25,-113.75,2.0,B,Miscellaneous,27.44,35.09,18.78,0.0,30.24,88.21,2.23,7.15,4.48
22,2013-07-31,41.31027778,-123.2044444,35.25,-113.75,12365.0,G,Miscellaneous,28.05,34.83,21.3,0.0,31.96,88.07,2.06,7.41,4.41
23,2013-07-14,34.475,-117.8302778,35.25,-113.75,0.1,A,Debris Burning,29.59,34.69,23.69,1.48,32.98,87.75,0.26,3.42,1.77
24,2013-07-25,34.40555556,-118.4594444,35.25,-113.75,1.0,B,Miscellaneous,28.45,34.48,22.74,5.45,44.06,87.91,1.96,4.75,3.63
25,2013-07-15,39.66861111,-120.6663889,35.25,-113.75,0.1,A,Miscellaneous,28.88,34.48,23.93,3.31,37.74,87.54,1.93,3.5,2.48
26,2013-07-25,35.4375,-118.8055556,35.25,-113.75,0.1,A,Miscellaneous,28.45,34.48,22.74,5.45,44.06,87.91,1.96,4.75,3.63
27,2013-07-18,40.66666667,-121.4333333,35.25,-113.75,0.1,A,Miscellaneous,28.95,34.95,23.44,0.82,39.57,87.85,1.12,3.79,2.2
28,2013-07-19,40.17777778,-120.9986111,35.25,-113.75,0.37,B,Miscellaneous,28.8,34.98,22.19,0.6,38.89,87.69,1.24,4.44,2.54
29,2013-07-10,41.74444444,-122.9775,35.25,-113.75,0.6,B,Miscellaneous,28.47,34.62,22.04,0.11,29.37,87.85,0.53,5.37,2.54
30,2013-07-26,40.73111111,-122.80916670000002,35.25,-113.75,0.75,B,Miscellaneous,25.55,30.72,22.16,3.67,60.42,88.16,1.33,4.63,2.75
31,2013-07-15,33.54194444,-116.71,35.25,-113.75,0.1,A,Miscellaneous,28.88,34.48,23.93,3.31,37.74,87.54,1.93,3.5,2.48
32,2013-07-20,39.15111111,-120.7744444,35.25,-113.75,0.25,A,Miscellaneous,25.26,30.8,21.67,7.09,63.0,87.62,0.35,4.26,2.16
33,2013-07-31,41.44972222,-121.775,35.25,-113.75,1.6,B,Miscellaneous,28.05,34.83,21.3,0.0,31.96,88.07,2.06,7.41,4.41
34,2013-07-24,35.48277778,-118.7113889,35.25,-113.75,0.1,A,Miscellaneous,29.4,35.24,22.3,0.91,38.44,87.73,1.04,2.63,1.67
35,2013-07-11,33.02916667,-116.6347222,35.25,-113.75,0.1,A,Debris Burning,24.68,29.02,22.14,0.88,54.15,87.77,0.9,6.02,4.4
36,2013-07-10,34.57194444,-118.68694440000002,35.25,-113.75,0.25,A,Miscellaneous,28.47,34.62,22.04,0.11,29.37,87.85,0.53,5.37,2.54
37,2013-07-25,37.13444444,-119.4072222,35.25,-113.75,0.1,A,Miscellaneous,28.45,34.48,22.74,5.45,44.06,87.91,1.96,4.75,3.63
38,2013-07-19,34.89055556,-118.9133333,35.25,-113.75,722.0,E,Miscellaneous,28.8,34.98,22.19,0.6,38.89,87.69,1.24,4.44,2.54
39,2013-07-14,39.43805556,-120.0211111,35.25,-113.75,0.25,A,Miscellaneous,29.59,34.69,23.69,1.48,32.98,87.75,0.26,3.42,1.77
40,2013-07-04,41.85888889,-120.7502778,35.25,-113.75,0.1,A,Debris Burning,31.1,37.51,24.47,0.2,19.61,87.37,2.81,7.93,4.85
41,2013-07-24,41.78583333,-121.3038889,35.25,-113.75,0.1,A,Miscellaneous,29.4,35.24,22.3,0.91,38.44,87.73,1.04,2.63,1.67
42,2013-07-06,40.13722222,-120.95416670000002,35.25,-113.75,0.1,A,Miscellaneous,29.91,37.27,23.0,0.15,29.36,87.41,1.86,6.11,4.22
43,2013-07-17,38.88,-120.4291667,35.25,-113.75,0.1,A,Miscellaneous,27.64,33.14,21.85,0.96,42.3,88.02,0.47,4.54,2.51
44,2013-07-04,33.25472222,-116.7591667,35.25,-113.75,0.4,B,Miscellaneous,31.1,37.51,24.47,0.2,19.61,87.37,2.81,7.93,4.85
45,2013-07-26,40.58111111,-121.6288889,35.25,-113.75,0.1,A,Debris Burning,25.55,30.72,22.16,3.67,60.42,88.16,1.33,4.63,2.75
46,2013-07-05,34.30944444,-118.37333329999998,35.25,-113.75,0.5,B,Miscellaneous,27.72,33.22,22.96,0.07,34.28,87.44,1.82,10.51,6.72
47,2013-07-29,33.81138889,-117.62416670000002,35.25,-113.75,0.5,B,Miscellaneous,27.05,34.19,19.58,0.0,30.16,87.82,1.87,7.29,4.36
48,2013-07-31,41.30138889,-123.1397222,35.25,-113.75,0.5,B,Miscellaneous,28.05,34.83,21.3,0.0,31.96,88.07,2.06,7.41,4.41
49,2013-07-31,41.3025,-123.15583329999998,35.25,-113.75,0.1,A,Miscellaneous,28.05,34.83,21.3,0.0,31.96,88.07,2.06,7.41,4.41
50,2013-07-04,33.78083333,-116.9005556,35.25,-113.75,0.25,A,Miscellaneous,31.1,37.51,24.47,0.2,19.61,87.37,2.81,7.93,4.85
51,2013-07-05,34.28361111,-117.2138889,35.25,-113.75,0.25,A,Miscellaneous,27.72,33.22,22.96,0.07,34.28,87.44,1.82,10.51,6.72
52,2013-07-10,40.94277778,-123.6441667,35.25,-113.75,0.1,A,Miscellaneous,28.47,34.62,22.04,0.11,29.37,87.85,0.53,5.37,2.54
53,2013-07-15,34.32916667,-117.5138889,35.25,-113.75,0.5,B,Miscellaneous,28.88,34.48,23.93,3.31,37.74,87.54,1.93,3.5,2.48
54,2013-07-02,32.891831,-116.826552,35.25,-113.75,112.0,D,Miscellaneous,30.87,37.71,23.79,0.25,21.78,87.76,1.91,7.48,4.38
55,2013-07-06,32.979323,-116.436577,35.25,-113.75,0.1,A,Missing/Undefined,29.91,37.27,23.0,0.15,29.36,87.41,1.86,6.11,4.22
56,2013-07-06,32.966662,-116.45733,35.25,-113.75,7056.0,G,Miscellaneous,29.91,37.27,23.0,0.15,29.36,87.41,1.86,6.11,4.22
57,2013-07-04,35.37278,-115.89306,35.25,-113.75,0.1,A,Missing/Undefined,31.1,37.51,24.47,0.2,19.61,87.37,2.81,7.93,4.85
58,2013-07-04,32.709,-114.947,35.25,-113.75,0.1,A,Miscellaneous,31.1,37.51,24.47,0.2,19.61,87.37,2.81,7.93,4.85
59,2013-07-11,33.73581,-117.25942,35.25,-113.75,0.5,B,Missing/Undefined,24.68,29.02,22.14,0.88,54.15,87.77,0.9,6.02,4.4
60,2013-07-07,33.65625,-116.95756000000002,35.25,-113.75,2.3,B,Missing/Undefined,30.9,38.44,22.47,0.05,22.69,87.46,1.85,6.71,4.01
61,2013-07-08,35.61683,-117.59248999999998,35.25,-113.75,0.1,A,Miscellaneous,31.8,39.35,23.15,0.0,17.06,87.77,1.35,6.75,4.22
62,2013-07-15,35.61677,-117.59374,35.25,-113.75,0.1,A,Miscellaneous,28.88,34.48,23.93,3.31,37.74,87.54,1.93,3.5,2.48
63,2013-07-13,35.77542000000001,-117.91292,35.25,-113.75,0.1,A,Miscellaneous,28.38,34.09,20.5,1.55,37.96,87.8,1.16,3.32,2.25
64,2013-07-30,33.606390000000005,-114.93597,35.25,-113.75,0.3,B,Missing/Undefined,27.44,35.09,18.78,0.0,30.24,88.21,2.23,7.15,4.48
65,2013-07-23,32.800329999999995,-116.3346,35.25,-113.75,0.1,A,Missing/Undefined,26.57,31.51,20.9,1.14,48.26,87.85,0.59,2.7,1.84
66,2013-07-28,36.57488,-118.04637,35.25,-113.75,0.1,A,Missing/Undefined,27.03,32.67,22.06,2.06,48.4,87.54,0.24,4.91,2.48
67,2013-07-04,38.5128,-119.4708,35.25,-113.75,0.1,A,Missing/Undefined,31.1,37.51,24.47,0.2,19.61,87.37,2.81,7.93,4.85
68,2013-07-04,35.6358,-119.1247,35.25,-113.75,0.1,A,Missing/Undefined,31.1,37.51,24.47,0.2,19.61,87.37,2.81,7.93,4.85
69,2013-07-11,35.7389,-120.2103,35.25,-113.75,4.4,B,Missing/Undefined,24.68,29.02,22.14,0.88,54.15,87.77,0.9,6.02,4.4
70,2013-07-12,38.650097,-119.5331,35.25,-113.75,0.1,A,Missing/Undefined,26.59,31.75,20.79,0.52,46.26,87.74,1.05,6.08,3.25
71,2013-07-13,35.3478,-120.0233,35.25,-113.75,40.0,C,Missing/Undefined,28.38,34.09,20.5,1.55,37.96,87.8,1.16,3.32,2.25
72,2013-07-23,35.0847,-118.9744,35.25,-113.75,450.0,E,Missing/Undefined,26.57,31.51,20.9,1.14,48.26,87.85,0.59,2.7,1.84
73,2013-07-29,35.78,-120.2069,35.25,-113.75,0.2,A,Missing/Undefined,27.05,34.19,19.58,0.0,30.16,87.82,1.87,7.29,4.36
74,2013-07-26,35.2933,-119.6119,35.25,-113.75,0.1,A,Miscellaneous,25.55,30.72,22.16,3.67,60.42,88.16,1.33,4.63,2.75
75,2013-07-01,41.0942,-123.6925,35.25,-113.75,0.1,A,Debris Burning,32.63,39.88,25.09,0.16,19.27,87.65,1.48,6.49,3.76
76,2013-07-01,41.085,-123.6972,35.25,-113.75,0.1,A,Debris Burning,32.63,39.88,25.09,0.16,19.27,87.65,1.48,6.49,3.76
77,2013-07-08,41.0811,-123.6839,35.25,-113.75,0.1,A,Debris Burning,31.8,39.35,23.15,0.0,17.06,87.77,1.35,6.75,4.22
78,2013-07-02,34.00163,-116.57773,35.25,-113.75,0.1,A,Missing/Undefined,30.87,37.71,23.79,0.25,21.78,87.76,1.91,7.48,4.38
79,2013-07-02,33.9242,-116.6922,35.25,-113.75,0.3,B,Missing/Undefined,30.87,37.71,23.79,0.25,21.78,87.76,1.91,7.48,4.38
80,2013-07-05,36.57288,-118.75112,35.25,-113.75,1.0,B,Debris Burning,27.72,33.22,22.96,0.07,34.28,87.44,1.82,10.51,6.72
81,2013-07-01,40.5517,-122.4878,35.25,-113.75,0.1,A,Miscellaneous,32.63,39.88,25.09,0.16,19.27,87.65,1.48,6.49,3.76
82,2013-07-12,40.2217,-124.3092,35.25,-113.75,34.0,C,Missing/Undefined,26.59,31.75,20.79,0.52,46.26,87.74,1.05,6.08,3.25
83,2013-07-21,40.1025,-120.1964,35.25,-113.75,0.1,A,Missing/Undefined,23.26,26.17,20.31,1.84,73.61,87.68,0.87,3.42,2.26
84,2013-07-23,39.8189,-123.2706,35.25,-113.75,0.3,B,Debris Burning,26.57,31.51,20.9,1.14,48.26,87.85,0.59,2.7,1.84
85,2013-07-08,34.049711,-118.78714,35.25,-113.75,0.1,A,Missing/Undefined,31.8,39.35,23.15,0.0,17.06,87.77,1.35,6.75,4.22
86,2013-07-08,34.085064,-118.782036,35.25,-113.75,2.0,B,Missing/Undefined,31.8,39.35,23.15,0.0,17.06,87.77,1.35,6.75,4.22
87,2013-07-15,34.018403,-118.814208,35.25,-113.75,0.1,A,Missing/Undefined,28.88,34.48,23.93,3.31,37.74,87.54,1.93,3.5,2.48
88,2013-07-04,36.01553,-118.83293,35.25,-113.75,3.8,B,Missing/Undefined,31.1,37.51,24.47,0.2,19.61,87.37,2.81,7.93,4.85
89,2013-07-27,37.547,-119.643,35.25,-113.75,0.1,A,Miscellaneous,26.51,31.57,20.65,6.15,51.98,87.85,0.13,5.75,3.13
90,2013-07-31,37.85083,-119.65967,35.25,-113.75,0.1,A,Miscellaneous,28.05,34.83,21.3,0.0,31.96,88.07,2.06,7.41,4.41
91,2013-07-01,39.46277778,-121.9927778,35.25,-113.75,0.5,B,Missing/Undefined,32.63,39.88,25.09,0.16,19.27,87.65,1.48,6.49,3.76
92,2013-07-29,32.679215,-116.978524,35.25,-113.75,44.0,C,Missing/Undefined,27.05,34.19,19.58,0.0,30.16,87.82,1.87,7.29,4.36
93,2013-07-28,32.6425,-116.8577778,35.25,-113.75,5.0,B,Missing/Undefined,27.03,32.67,22.06,2.06,48.4,87.54,0.24,4.91,2.48
94,2013-07-11,33.17611111,-115.62194440000002,35.25,-113.75,0.5,B,Miscellaneous,24.68,29.02,22.14,0.88,54.15,87.77,0.9,6.02,4.4
95,2013-07-15,33.93,-117.226117,35.25,-113.75,0.1,A,Missing/Undefined,28.88,34.48,23.93,3.31,37.74,87.54,1.93,3.5,2.48
96,2013-07-05,37.2732,-120.3015,35.25,-113.75,0.1,A,Missing/Undefined,27.72,33.22,22.96,0.07,34.28,87.44,1.82,10.51,6.72
97,2013-07-25,33.059283,-117.1011,35.25,-113.75,28.0,C,Missing/Undefined,28.45,34.48,22.74,5.45,44.06,87.91,1.96,4.75,3.63
98,2013-07-14,40.212833,-123.750667,35.25,-113.75,21.0,C,Miscellaneous,29.59,34.69,23.69,1.48,32.98,87.75,0.26,3.42,1.77
99,2013-07-16,36.922533,-121.63055,35.25,-113.75,17.0,C,Miscellaneous,28.06,33.9,21.94,1.65,37.13,87.7,2.66,7.6,5.02
100,2013-07-28,39.812583,-122.197283,35.25,-113.75,17.0,C,Miscellaneous,27.03,32.67,22.06,2.06,48.4,87.54,0.24,4.91,2.48
101,2013-07-02,41.226017,-121.0807,35.25,-113.75,13.8,C,Miscellaneous,30.87,37.71,23.79,0.25,21.78,87.76,1.91,7.48,4.38
102,2013-07-04,33.7388,-116.95855,35.25,-113.75,1.0,B,Miscellaneous,31.1,37.51,24.47,0.2,19.61,87.37,2.81,7.93,4.85
103,2013-07-19,36.7203,-119.67285,35.25,-113.75,1.0,B,Missing/Undefined,28.8,34.98,22.19,0.6,38.89,87.69,1.24,4.44,2.54
104,2013-07-30,39.270467,-120.063333,35.25,-113.75,1.0,B,Miscellaneous,27.44,35.09,18.78,0.0,30.24,88.21,2.23,7.15,4.48
105,2013-07-09,38.7835,-123.009367,35.25,-113.75,1.0,B,Missing/Undefined,30.42,36.82,22.54,0.0,20.77,88.01,1.04,5.09,3.27
106,2013-07-22,36.887633,-119.686067,35.25,-113.75,1.0,B,Miscellaneous,25.24,30.4,19.78,0.24,58.63,87.83,1.49,5.43,3.36
107,2013-07-06,39.169717,-121.608567,35.25,-113.75,1.0,B,Debris Burning,29.91,37.27,23.0,0.15,29.36,87.41,1.86,6.11,4.22
108,2013-07-08,37.565017,-120.425883,35.25,-113.75,1.0,B,Missing/Undefined,31.8,39.35,23.15,0.0,17.06,87.77,1.35,6.75,4.22
109,2013-07-10,37.94805,-120.617167,35.25,-113.75,1.0,B,Miscellaneous,28.47,34.62,22.04,0.11,29.37,87.85,0.53,5.37,2.54
110,2013-07-03,41.241383,-121.035,35.25,-113.75,502.0,E,Miscellaneous,31.36,38.56,23.39,0.0,20.1,87.52,2.62,6.72,4.47
111,2013-07-27,39.77535,-121.997367,35.25,-113.75,0.1,A,Miscellaneous,26.51,31.57,20.65,6.15,51.98,87.85,0.13,5.75,3.13
112,2013-07-24,36.864717,-119.539167,35.25,-113.75,3.0,B,Miscellaneous,29.4,35.24,22.3,0.91,38.44,87.73,1.04,2.63,1.67
113,2013-07-14,40.436233,-122.400283,35.25,-113.75,3.0,B,Miscellaneous,29.59,34.69,23.69,1.48,32.98,87.75,0.26,3.42,1.77
114,2013-07-30,40.883717,-121.67155,35.25,-113.75,0.5,B,Missing/Undefined,27.44,35.09,18.78,0.0,30.24,88.21,2.23,7.15,4.48
115,2013-07-15,37.0774,-122.085,35.25,-113.75,0.5,B,Missing/Undefined,28.88,34.48,23.93,3.31,37.74,87.54,1.93,3.5,2.48
116,2013-07-18,38.9709,-120.88935,35.25,-113.75,0.1,A,Missing/Undefined,28.95,34.95,23.44,0.82,39.57,87.85,1.12,3.79,2.2
117,2013-07-06,37.476383,-120.703217,35.25,-113.75,5.0,B,Miscellaneous,29.91,37.27,23.0,0.15,29.36,87.41,1.86,6.11,4.22
118,2013-07-10,38.51435,-122.074883,35.25,-113.75,5.0,B,Missing/Undefined,28.47,34.62,22.04,0.11,29.37,87.85,0.53,5.37,2.54
119,2013-07-02,40.559383,-122.276733,35.25,-113.75,0.25,A,Missing/Undefined,30.87,37.71,23.79,0.25,21.78,87.76,1.91,7.48,4.38
120,2013-07-04,39.527383,-121.462283,35.25,-113.75,0.25,A,Missing/Undefined,31.1,37.51,24.47,0.2,19.61,87.37,2.81,7.93,4.85
121,2013-07-03,37.015317,-122.052333,35.25,-113.75,0.23,A,Miscellaneous,31.36,38.56,23.39,0.0,20.1,87.52,2.62,6.72,4.47
122,2013-07-05,38.235017,-121.13545,35.25,-113.75,0.22,A,Miscellaneous,27.72,33.22,22.96,0.07,34.28,87.44,1.82,10.51,6.72
123,2013-07-09,33.73055,-117.30625,35.25,-113.75,0.21,A,Missing/Undefined,30.42,36.82,22.54,0.0,20.77,88.01,1.04,5.09,3.27
124,2013-07-12,36.781767,-119.52205,35.25,-113.75,0.2,A,Miscellaneous,26.59,31.75,20.79,0.52,46.26,87.74,1.05,6.08,3.25
125,2013-07-11,38.776767,-120.605833,35.25,-113.75,0.2,A,Missing/Undefined,24.68,29.02,22.14,0.88,54.15,87.77,0.9,6.02,4.4
126,2013-07-03,38.889133,-122.604433,35.25,-113.75,11.5,C,Miscellaneous,31.36,38.56,23.39,0.0,20.1,87.52,2.62,6.72,4.47
127,2013-07-19,36.20725,-120.37315,35.25,-113.75,1.0,B,Miscellaneous,28.8,34.98,22.19,0.6,38.89,87.69,1.24,4.44,2.54
128,2013-07-27,35.45708300000001,-120.331633,35.25,-113.75,1.0,B,Miscellaneous,26.51,31.57,20.65,6.15,51.98,87.85,0.13,5.75,3.13
129,2013-07-05,39.973033,-123.966133,35.25,-113.75,1.0,B,Missing/Undefined,27.72,33.22,22.96,0.07,34.28,87.44,1.82,10.51,6.72
130,2013-07-11,39.308483,-121.637517,35.25,-113.75,1.0,B,Missing/Undefined,24.68,29.02,22.14,0.88,54.15,87.77,0.9,6.02,4.4
131,2013-07-22,40.315983,-121.106983,35.25,-113.75,1.0,B,Miscellaneous,25.24,30.4,19.78,0.24,58.63,87.83,1.49,5.43,3.36
132,2013-07-01,36.998267,-120.873433,35.25,-113.75,1.0,B,Debris Burning,32.63,39.88,25.09,0.16,19.27,87.65,1.48,6.49,3.76
133,2013-07-13,33.7834,-117.23695,35.25,-113.75,1.0,B,Missing/Undefined,28.38,34.09,20.5,1.55,37.96,87.8,1.16,3.32,2.25
134,2013-07-24,38.349367,-120.85045,35.25,-113.75,0.89,B,Missing/Undefined,29.4,35.24,22.3,0.91,38.44,87.73,1.04,2.63,1.67
135,2013-07-16,37.086533,-120.212583,35.25,-113.75,0.8,B,Missing/Undefined,28.06,33.9,21.94,1.65,37.13,87.7,2.66,7.6,5.02
136,2013-07-26,40.428833,-120.806,35.25,-113.75,0.8,B,Miscellaneous,25.55,30.72,22.16,3.67,60.42,88.16,1.33,4.63,2.75
137,2013-07-01,37.879817,-122.221983,35.25,-113.75,0.77,B,Miscellaneous,32.63,39.88,25.09,0.16,19.27,87.65,1.48,6.49,3.76
138,2013-07-12,33.9341,-117.55585,35.25,-113.75,1.0,B,Missing/Undefined,26.59,31.75,20.79,0.52,46.26,87.74,1.05,6.08,3.25
139,2013-07-03,33.6709,-117.206533,35.25,-113.75,1.0,B,Missing/Undefined,31.36,38.56,23.39,0.0,20.1,87.52,2.62,6.72,4.47
140,2013-07-25,32.6341,-116.178367,35.25,-113.75,1.0,B,Missing/Undefined,28.45,34.48,22.74,5.45,44.06,87.91,1.96,4.75,3.63
